kegg_id	pathway_name	gene_id
03010	Ribosome	mrpl21
03010	Ribosome	rps25
03010	Ribosome	rpl26
03010	Ribosome	rps23
03010	Ribosome	rpl13
03010	Ribosome	mrps18a
03010	Ribosome	rpl31
03010	Ribosome	mrps12
03010	Ribosome	mrpl22
03010	Ribosome	mrps21
03010	Ribosome	rpl30
03010	Ribosome	rpl10a
03010	Ribosome	rpl37
03010	Ribosome	rpl12
03010	Ribosome	mrpl19
03010	Ribosome	rps3a
03010	Ribosome	rpl36a
03010	Ribosome	rps16
03010	Ribosome	mrpl16
03010	Ribosome	rpl8
03010	Ribosome	mrpl18
03010	Ribosome	mrps14
03010	Ribosome	mrps7
03010	Ribosome	rpl14
03010	Ribosome	rps4x
03010	Ribosome	fau
03010	Ribosome	rplp1
03010	Ribosome	mrpl2
03010	Ribosome	rps11
03010	Ribosome	rps13
03010	Ribosome	mrps11
03010	Ribosome	uba52
03010	Ribosome	rps2
03010	Ribosome	mrpl10
03010	Ribosome	rpl38
03010	Ribosome	rpl35
03010	Ribosome	rps21
03010	Ribosome	mrpl17
03010	Ribosome	rps8
03010	Ribosome	rpl6
03010	Ribosome	rps29
03010	Ribosome	rpl24
03010	Ribosome	rpl10
03010	Ribosome	rpl17-c18orf32
03010	Ribosome	rpl27
03010	Ribosome	mrps5
03010	Ribosome	rpl21
03010	Ribosome	rpl23
03010	Ribosome	mrps9
03010	Ribosome	mrpl13
03010	Ribosome	rps6
03010	Ribosome	rps15
03010	Ribosome	mrpl24
03010	Ribosome	rpl22l1
03010	Ribosome	mrpl34
03010	Ribosome	mrpl35
03010	Ribosome	mrps18c
03010	Ribosome	mrpl14
03010	Ribosome	rpl18a
03010	Ribosome	rps26
03010	Ribosome	rpl15
03010	Ribosome	rpl11
03010	Ribosome	mrpl1
03010	Ribosome	mrpl3
03010	Ribosome	rps12
03010	Ribosome	rps19
03010	Ribosome	mrps2
03010	Ribosome	mrpl11
03010	Ribosome	rps20
03010	Ribosome	mrps17
03010	Ribosome	rps3
03010	Ribosome	rpl29
03010	Ribosome	rps5
03010	Ribosome	rpl34
03010	Ribosome	rps10
03010	Ribosome	mrpl9
03010	Ribosome	mrpl12
03010	Ribosome	rps27a
03010	Ribosome	rpl37a
00071	Fatty acid degradation	acadsb
00071	Fatty acid degradation	hadh
00071	Fatty acid degradation	aldh3a2(1of3)
00071	Fatty acid degradation	aldh3a2(2of3)
00071	Fatty acid degradation	aldh3a2(3of3)
00071	Fatty acid degradation	ehhadh
00071	Fatty acid degradation	acaa2
00071	Fatty acid degradation	acat2
00071	Fatty acid degradation	aldh2
00071	Fatty acid degradation	acat1
00071	Fatty acid degradation	echs1
00071	Fatty acid degradation	acsl3(1of2)
00071	Fatty acid degradation	acsl3(2of2)
00071	Fatty acid degradation	eci2
00071	Fatty acid degradation	acadl
00071	Fatty acid degradation	hadhb
00071	Fatty acid degradation	acsl1
00071	Fatty acid degradation	cpt1a(1of4)
00071	Fatty acid degradation	cpt1a(2of4)
00071	Fatty acid degradation	cpt1a(3of4)
00071	Fatty acid degradation	cpt1a(4of4)
00071	Fatty acid degradation	acsl5
00071	Fatty acid degradation	aldh7a1
00071	Fatty acid degradation	acsbg2
00071	Fatty acid degradation	acsbg1
00071	Fatty acid degradation	cpt2
00071	Fatty acid degradation	acsl6(1of2)
00071	Fatty acid degradation	acsl6(2of2)
00071	Fatty acid degradation	acads(1of2)
00071	Fatty acid degradation	acads(2of2)
00071	Fatty acid degradation	acox1
00071	Fatty acid degradation	acadm
00071	Fatty acid degradation	acadvl(1of2)
00071	Fatty acid degradation	acadvl(2of2)
00071	Fatty acid degradation	acsl4
00071	Fatty acid degradation	acaa1
00071	Fatty acid degradation	aldh9a1(1of2)
00071	Fatty acid degradation	aldh9a1(2of2)
00071	Fatty acid degradation	acox3
00071	Fatty acid degradation	adh5(1of4)
00071	Fatty acid degradation	adh5(2of4)
00071	Fatty acid degradation	adh5(3of4)
00071	Fatty acid degradation	adh5(4of4)
00071	Fatty acid degradation	gcdh
00071	Fatty acid degradation	hadha
00071	Fatty acid degradation	eci1
04659	Th17 cell differentiation	tgfbr2(1of3)
04659	Th17 cell differentiation	tgfbr2(2of3)
04659	Th17 cell differentiation	tgfbr2(3of3)
04659	Th17 cell differentiation	mapk1
04659	Th17 cell differentiation	zap70
04659	Th17 cell differentiation	nfatc1(1of2)
04659	Th17 cell differentiation	nfatc1(2of2)
04659	Th17 cell differentiation	mtor
04659	Th17 cell differentiation	il17d
04659	Th17 cell differentiation	nfatc2(1of2)
04659	Th17 cell differentiation	nfatc2(2of2)
04659	Th17 cell differentiation	il1rl2
04659	Th17 cell differentiation	il1r1
04659	Th17 cell differentiation	nfatc3(1of2)
04659	Th17 cell differentiation	nfatc3(2of2)
04659	Th17 cell differentiation	ahr(1of3)
04659	Th17 cell differentiation	ahr(2of3)
04659	Th17 cell differentiation	ahr(3of3)
04659	Th17 cell differentiation	jak1
04659	Th17 cell differentiation	ppp3ca(5of5)
04659	Th17 cell differentiation	hsp90ab1
04659	Th17 cell differentiation	mapk14(1of2)
04659	Th17 cell differentiation	mapk14(2of2)
04659	Th17 cell differentiation	stat5b(1of4)
04659	Th17 cell differentiation	stat5b(2of4)
04659	Th17 cell differentiation	stat5b(3of4)
04659	Th17 cell differentiation	stat5b(4of4)
04659	Th17 cell differentiation	fos(1of4)
04659	Th17 cell differentiation	fos(2of4)
04659	Th17 cell differentiation	fos(3of4)
04659	Th17 cell differentiation	fos(4of4)
04659	Th17 cell differentiation	stat3(1of2)
04659	Th17 cell differentiation	stat3(2of2)
04659	Th17 cell differentiation	gata3(1of2)
04659	Th17 cell differentiation	gata3(2of2)
04659	Th17 cell differentiation	ppp3ca(1of5)
04659	Th17 cell differentiation	ppp3ca(2of5)
04659	Th17 cell differentiation	ppp3ca(3of5)
04659	Th17 cell differentiation	ppp3ca(4of5)
04659	Th17 cell differentiation	smad4(1of3)
04659	Th17 cell differentiation	smad4(2of3)
04659	Th17 cell differentiation	smad4(3of3)
