kegg_id	gene_id
04510	ppp1r12c(1of2)
04510	ppp1r12c(2of2)
04510	crkl
04510	itgb3(1of2)
04510	itgb3(2of2)
04510	lamb1(3of4)
04510	reln
04510	lamb2
04510	pip5k1c(1of2)
04510	pip5k1c(2of2)
04510	rac3
04510	ppp1r12a
04510	ppp1r12b(2of2)
04510	src(1of2)
04510	src(2of2)
04510	pik3cb(1of2)
04510	pik3cb(2of2)
04510	lama3(1of4)
04510	lama3(2of4)
04510	lama3(3of4)
04510	lama3(4of4)
04510	bad
04510	met(1of2)
04510	met(2of2)
04510	lamc3
04510	itga10
04510	lamc1(2of2)
04510	chad
04510	actb
04510	parva
04510	flnb
04510	vcl(1of2)
04510	vcl(2of2)
04510	zyx
04510	fblim1
04510	itga4
04510	prkcb(1of2)
04510	prkcb(2of2)
04510	sos2
04510	braf
04510	mapk10
04510	pdgfd
04510	hras(1of2)
04510	hras(2of2)
04510	cav2(1of3)
04510	cav2(2of3)
04510	cav2(3of3)
04510	itga5(1of2)
04510	itga5(2of2)
04510	ppp1r12b(1of2)
04510	pdgfrb
04510	mapk9
04510	actn1
04510	ptk2(1of2)
04510	ptk2(2of2)
04510	lama4(1of2)
04510	lama4(2of2)
04510	bcl2
04510	egf
04510	tln1
04510	prkca(1of3)
04510	prkca(2of3)
04510	prkca(3of3)
04510	col6a2(1of2)
04510	col6a2(2of2)
04510	itga8(1of2)
04510	itga8(2of2)
04510	vav1
04510	col2a1(1of3)
04510	col2a1(2of3)
04510	col2a1(3of3)
04510	rapgef1(1of2)
04510	rapgef1(2of2)
04510	tnc(1of5)
04510	tnc(2of5)
04510	tnc(3of5)
04510	tnc(4of5)
04510	tnc(5of5)
04510	pak2(1of2)
04510	pak2(2of2)
04510	thbs2(1of2)
04510	thbs2(2of2)
04510	kdr
04510	hgf(1of2)
04510	hgf(2of2)
04510	pgf(2of2)
04510	vegfa
04510	vegfb
04510	col9a1(1of3)
04510	col9a1(3of3)
04510	shc2
04510	map2k1
04510	pdgfb(1of2)
04510	pdgfb(2of2)
04510	capn2(1of3)
04510	capn2(2of3)
04510	capn2(3of3)
04510	lamb1(1of4)
04510	lamb1(2of4)
04510	lamb1(4of4)
04510	rock1(1of2)
04510	rock1(2of2)
04510	pik3r3(1of2)
04510	pik3r3(2of2)
04510	akt2
04510	gsk3b
04510	birc2
04510	col9a3(1of2)
04510	itga6(1of3)
04510	itga6(2of3)
04510	itga6(3of3)
04510	lamb3(1of2)
