id,b_D3d,b_D6d,b_D1m,b_NonD,GO
akirin2(2of2),NonDE,NonDE,NonDE,NonDE,.
akna(1of2),NonDE,DN,DN,NonDE,.
akna(2of2),NonDE,NonDE,UP,NonDE,.
akr1a1(1of4),NonDE,NonDE,NonDE,NonDE,.
akr1a1(2of4),NonDE,NonDE,NonDE,NonDE,.
akr1a1(3of4),UP,UP,UP,NonDE,.
akr1a1(4of4),DN,DN,DN,NonDE,.
akr1b10(2of4),NonDE,UP,UP,NonDE,.
akr1b10(4of4),UP,UP,UP,NonDE,.
akr7a2,NonDE,NonDE,UP,NonDE,.
akt1,NonDE,NonDE,NonDE,NonDE,.
akt1s1,UP,UP,UP,NonDE,.
akt2,NonDE,NonDE,UP,NonDE,.
akt3(1of2),NonDE,UP,UP,NonDE,.
akt3(2of2),NonDE,NonDE,NonDE,NonDE,.
aktip,NonDE,UP,UP,NonDE,.
al513412.1,NonDE,NonDE,NonDE,NonDE,.
alad,NonDE,NonDE,NonDE,NonDE,.
alas1,NonDE,NonDE,NonDE,NonDE,.
alas2,NonDE,NonDE,NonDE,UP,.
alcam,NonDE,NonDE,NonDE,NonDE,.
aldh16a1,NonDE,NonDE,NonDE,NonDE,.
aldh18a1(1of2),NonDE,NonDE,NonDE,NonDE,.
aldh1a2,NonDE,DN,DN,NonDE,.
aldh1l2(1of2),UP,UP,UP,NonDE,.
aldh1l2(2of2),NonDE,NonDE,NonDE,NonDE,.
aldh2,NonDE,NonDE,NonDE,NonDE,.
aldh3a2(1of3),NonDE,DN,NonDE,NonDE,.
aldh3a2(2of3),NonDE,NonDE,DN,DN,.
aldh3a2(3of3),NonDE,NonDE,NonDE,NonDE,.
aldh3b1(2of2),UP,UP,NonDE,UP,.
aldh4a1,NonDE,DN,DN,NonDE,.
aldh5a1,NonDE,NonDE,NonDE,NonDE,.
aldh6a1,NonDE,NonDE,NonDE,NonDE,.
aldh7a1,NonDE,NonDE,NonDE,NonDE,.
aldh8a1,UP,UP,NonDE,UP,.
aldh9a1(1of2),DN,DN,DN,NonDE,.
aldh9a1(2of2),UP,UP,UP,NonDE,.
aldoa,UP,UP,UP,UP,.
aldob,UP,UP,UP,NonDE,.
aldoc(1of2),NonDE,UP,UP,NonDE,.
aldoc(2of2),UP,UP,UP,NonDE,.
alg1,NonDE,NonDE,NonDE,NonDE,.
alg10,DN,DN,NonDE,NonDE,.
alg11(1of2),UP,UP,UP,NonDE,.
alg11(2of2),NonDE,NonDE,NonDE,NonDE,.
alg12,NonDE,NonDE,NonDE,NonDE,.
alg13(2of2),NonDE,NonDE,NonDE,NonDE,.
alg14,NonDE,NonDE,NonDE,NonDE,.
alg2,NonDE,NonDE,NonDE,NonDE,.
alg3,NonDE,NonDE,NonDE,NonDE,.
alg5,NonDE,NonDE,NonDE,NonDE,.
alg6,NonDE,NonDE,NonDE,NonDE,.
alg8,NonDE,NonDE,NonDE,NonDE,.
alg9,DN,DN,DN,NonDE,.
alk(2of2),NonDE,NonDE,NonDE,NonDE,.
