Condition,FDR,DE,,,,,,
D3d,0.461533265,0.141294214,,,,,,
D3d,0.368965338,-0.175812108,,,,,,
D3d,0.000766137,-0.888307514,,,,,,
D3d,0.204895113,-0.317376093,,,,,,
D3d,1.37E-15,-2.109449773,,,,,,
D3d,0.036787681,1.219184969,,,,,,
D3d,0.004027145,-0.54216469,,,,,,
D3d,0.000658101,-1.101867709,,,,,,
D3d,4.60E-08,-1.414433598,,,,,,
D3d,0.0265526,0.491806783,,,,,,
D3d,0.741645172,0.053333315,,,,,,
D3d,0.225290533,-0.430661633,,,,,,
D3d,0.604660694,-0.155050468,,,,,,
D3d,0.149776809,0.292833483,,,,,,
D3d,3.19E-13,2.711492746,,,,,,
D3d,0.022140919,0.465398785,,,,,,
D3d,8.14E-08,1.403998402,,,,,,
D3d,0.000368049,2.415857778,,,,,,
D3d,0.455348421,0.33888704,,,,,,
D3d,0.009864229,1.251132187,,,,,,
D3d,0.025716703,0.741009897,,,,,,
D3d,3.92E-13,2.929297577,,,,,,
D3d,0.859997341,0.039913837,,,,,,
D3d,0.005544618,0.810194046,,,,,,
D3d,0.000262999,0.96866901,,,,,,
D3d,0.133582509,0.453217878,,,,,,
D3d,1.26E-06,-0.868258571,,,,,,
D3d,2.69E-25,-2.850472127,,,,,,
D3d,1.59E-19,1.192147713,,,,,,
D3d,0.14156153,-0.62091529,,,,,,
D3d,0.075228952,1.217690558,,,,,,
D3d,0.915782441,0.069371939,,,,,,
D3d,2.19E-07,1.494571803,,,,,,
D3d,4.51E-23,-1.413975078,,,,,,
D3d,2.27E-12,-1.288584654,,,,,,
D3d,0.797315117,0.053299371,,,,,,
D3d,0.018093627,0.584755036,,,,,,
D3d,0.692686325,0.278189157,,,,,,
D3d,0.87143787,-0.075172552,,,,,,
D3d,0.690003678,-0.153034573,,,,,,
D3d,4.50E-28,-1.704767517,,,,,,
D3d,0.003678002,-1.417775007,,,,,,
D3d,3.93E-06,1.153749162,,,,,,
D3d,0.793952903,0.040107157,,,,,,
D3d,1.90E-09,0.959293757,,,,,,
D3d,1.11E-17,1.114451025,,,,,,
D3d,4.13E-14,5.387284728,,,,,,
D3d,7.70E-45,-3.71704472,,,,,,
D3d,0.005191524,0.362131087,,,,,,
D3d,2.34E-07,0.715770932,,,,,,
D3d,3.39E-15,1.164310238,,,,,,
D3d,0.431928514,-0.466879526,,,,,,
D3d,5.38E-06,-0.861067654,,,,,,
D3d,0.773248006,0.098830642,,,,,,
D3d,3.01E-06,-0.644581461,,,,,,
D3d,5.32E-29,-2.022201528,,,,,,
D3d,5.64E-09,-1.213352718,,,,,,
D3d,2.22E-08,-1.568763398,,,,,,
D3d,0.131301757,-0.297346622,,,,,,
D3d,6.67E-12,-1.546050235,,,,,,
D3d,8.67E-06,0.756279478,,,,,,
D3d,2.20E-83,-3.566425797,,,,,,
D3d,1.94E-49,-2.080709672,,,,,,
D3d,2.17E-29,-1.661978473,,,,,,
