id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,NonD_Lib21,NonD_Lib22,NonD_Lib23
tle3(1of2),25.50061352,25.11434357,24.80570365,19.59177936,22.09992199,18.84510919,21.30549557,21.88562686,20.85124811,23.55907932,21.24569996,18.57713255,18.1608901,21.00022455,18.28134508
tle3(2of2),7.299339731,5.736604243,5.733175022,3.421805469,3.462615203,3.427045944,2.1461966,2.257182498,2.998901464,3.278389978,2.24553869,3.841109837,7.180868068,6.694922466,5.732366878
tle4(1of2),3.517647153,3.229346672,2.952760761,4.047380029,5.147823548,3.737085212,4.7813909,4.813223987,4.817343394,3.943036503,1.989840941,4.253430074,2.510158662,2.475870067,2.750653776
tle4(2of2),0.388896991,0.400756756,0.642696618,0.589244294,0.383110405,0.725679986,0.327353916,0.306505319,0.375687989,0.403425333,0.290356972,0.435003338,0.679326393,0.662450643,0.447440994
tlk1(1of2),18.99730323,21.34864695,19.68862504,28.61706228,27.14398916,27.23442938,32.7785369,29.65194157,30.08923781,29.87304703,29.57777569,28.70100108,19.48066094,22.24695,22.74878972
tlk1(2of2),25.78699171,23.89566987,25.47935866,26.83191349,28.71230931,25.76309273,24.07186187,22.70579719,24.67549131,22.45337637,24.93087142,23.56836307,25.11988382,24.38257265,25.3153684
tlk2(1of2),6.432826503,6.750449332,5.033263404,5.01273143,6.345481162,4.616604531,8.944375042,9.367501457,12.17072873,8.302455157,11.07308801,9.555139124,5.830696367,5.36531682,5.741424302
tlk2(2of2),11.76323217,12.88637448,12.62052269,15.42246141,15.24059454,15.90236402,18.21650235,19.76806478,19.1288653,21.80637596,21.70793546,20.50264022,12.46266924,11.58816972,11.52860954
tll1,3.522909057,2.471134576,3.677861824,0.847631953,0.92843735,1.323282352,0.763028989,0.647194917,0.83638886,0.798416077,0.792800205,0.927684625,1.422160673,1.436172839,1.541182202
tln1,33.5272624,32.59845407,32.35886755,26.22986784,29.5736235,29.4915058,29.78193807,28.38880058,29.26404095,33.62234446,28.97873574,28.05240954,36.49251082,36.7231587,35.4268158
tln2(1of2),1.691029799,1.461244174,1.796285567,2.552088629,2.712063151,2.043362006,1.84596479,1.429253983,1.840652711,1.017445247,0.685743755,0.902535711,3.136726024,3.292776254,2.987005826
tln2(2of2),12.2899338,12.6947938,9.70101226,6.467061318,7.469537061,5.655398081,5.464271972,5.550244567,5.33363952,5.085551583,4.979332481,4.314328168,13.62893386,12.77655465,12.01252041
