id,b_PreD,b_D3d,b_D6d,b_D1m,b_D4m,b_NonD
ankrd29,0,2.007492204,2.279007465,1.328994471,0.766612341,0.826079206
fbxo15(3of3),0,1.805535891,0.969084266,2.362338776,1.335624565,0.184153048
nlrp1,0,0.699399696,1.050616416,0.251161863,-2.774598649,0.121979683
arrdc3(2of8),0,3.696180284,3.659857811,2.510806471,2.001186231,0.276829703
tmem151b(3of3),0,0.192142294,-0.377030078,-0.134412537,0.754828762,1.146922664
rnpc3(2of2),0,-1.359024985,0.238605199,-1.141299772,-0.365351067,0.358074792
pcsk5(2of5),0,-1.467366089,-0.01712346,1.40485608,-0.136034133,0.332508128
rlbp1(3of3),0,0.57788442,0.51972867,2.724483745,1.790931634,1.520483684
plxdc1(1of2),0,2.20667292,1.222691128,1.372167637,-0.147246778,-0.1374514
fam19a5(2of3),0,1.386204971,-0.040383435,1.381680927,0.20404862,1.68867688
gal3st3(3of5),0,0.973718979,-0.037567923,1.718125839,0.20404862,0.611979192
LOC107382420,0,3.751301476,4.853175017,3.833481431,2.94638684,0.600687653
LOC107382553,0,2.637207368,2.467566216,1.13081008,0.932375042,-0.395893365
crhr2(2of2),0,1.544355277,2.414337858,1.699116732,0.726414327,0.490494308
slc52a3(3of3),0,-2.814674191,0.074211752,1.915166463,0.478102934,-0.194872418
gpr3,0,-0.498946781,2.080604471,-0.135324228,0.188521398,0.150618066
LOC107396925,0,3.926227738,4.146361939,0.005573905,1.951705083,0.387125718
scn3b(1of2),0,1.561888722,1.39114846,1.465915575,0.706670846,0.070638284
fcho2(2of2),0,1.314522329,2.829752275,2.408647392,1.851010706,0.773447772
cnnm1(1of2),0,1.222729832,1.995463115,-1.469697984,-0.179894419,0.816146701
mycbp(1of2),0,1.1505001,0.753312379,1.648275406,0.176536344,-0.12890748
gata5,0,1.591480002,0.321717897,1.375398745,-0.657116628,0.730925458
gabrp(2of3),0,1.044325623,-0.52064626,-0.259244139,-0.635443606,0.869518756
tmbim1(2of2),0,1.707954638,1.269309898,2.341086488,0.458662088,-0.053845767
cacng7(2of2),0,2.049301295,1.725218566,2.04765305,2.411183018,0.673923972
jph3(1of2),0,2.61724669,3.143967626,3.193747976,1.851651667,0.493291829
best3,0,2.756368093,1.787717261,-0.71632134,0.897876558,0.090965345
hmgxb3(1of4),0,3.301640785,3.088771548,3.210532551,1.629633707,0.126063775
padi2(1of2),0,2.112232731,1.356951725,-1.137945001,1.277949919,1.333036079
pip5kl1,0,0.629253154,1.843519659,4.616160603,2.179383349,0.21689814
lipc,0,0.388176496,0.910664625,0.353427033,1.102589216,1.500008229
dclk1(1of2),0,-0.984580461,1.53024914,0.906140676,-0.680806127,1.052189618
slc22a6(2of2),0,1.246097614,0.713094649,-1.314171363,4.672383322,4.078232557
elmod1,0,2.013186147,3.259096199,1.943850263,1.710760584,0.91013034
st8sia3(1of2),0,0.661707453,0.112784426,1.28720733,1.038609628,1.358959091
