id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,D4m_Lib20,NonD_Lib21,NonD_Lib22,NonD_Lib23
rdh11,0.28755108,0.272127807,0.777522145,0.665236544,0.32897368,0.188620971,0.09970086,0.271968699,0.066580325,0,0,0.027302589,0.355935715,0.379140639,0.38738199,0.386058708
rdh12(1of7),0.546081138,0.173150195,0.429972931,0.186672597,0.218949268,0.491841097,0.250633761,0.341285412,0.593201089,0.106204328,0.459865784,0.451250677,0.455166895,0.290622715,0.874332051,0.527318276
rdh12(2of7),0.09031318,0.275712772,0.146640544,0.126997874,0.132372335,0,0.037922538,0.258268235,0.221720506,0.192949457,0.325028743,0.461995381,0.477963091,0.264400735,0.468372451,0.552669682
rdh12(3of7),41.14919969,51.16333804,51.09398543,120.7420373,96.83354082,98.27106143,194.8965767,214.6834485,217.8529451,80.171963,144.2198383,61.62640858,63.08338088,24.33967312,29.05604272,28.74083128
rdh12(4of7),3.624230601,3.271793507,2.698788149,1.114969104,0.650235945,0.955278986,0.181317664,0.700588559,0.205847469,0.323319711,0.8309566,0.122144588,2.918949211,4.373191287,3.723229783,4.729876667
rdh12(5of7),1.782634141,1.487010143,1.126879355,0.496322204,0.4441612,0.222240875,0.694944368,0.343556925,0.052810942,0.4802608,0,0,0.626893871,1.56386435,1.22337619,1.210089566
rdh12(6of7),0.421291893,0.27545412,0.285101946,1.686313813,1.008506221,1.566490925,1.952273112,1.389342331,0.889611643,0.902100458,1.301703764,1.136497615,0.148514417,0.308252615,0.327089472,0.251391777
rdh12(7of7),3.286230405,2.283983158,2.961596638,0.29452594,1.000971717,1.625394131,2.088777771,0.944880896,2.693927826,2.197167785,2.210153973,1.256788735,2.623453522,2.59929973,2.635976998,2.78462403
rdh13(2of3),12.42491386,12.19547892,10.62758366,10.76596729,9.091110311,12.79472838,14.86090917,14.32197944,13.47069649,14.30112323,21.20961366,17.4652197,12.65526683,11.98927816,12.33662355,10.38801355
rdh13(3of3),14.48778413,14.22420421,11.09555151,6.509546925,5.85584779,4.271375997,7.715411255,12.25266513,11.76332158,7.821972326,10.06590312,4.856212521,9.144385638,10.02408767,12.15310973,12.06860142
rdh14(1of2),4.001859608,3.709210542,4.495975031,4.347985533,3.016431011,3.884077805,4.984167702,4.693513736,5.083669604,4.125551038,5.648416513,3.53988476,3.78575403,3.661011056,4.903529943,4.302014992
rdh14(2of2),7.943109226,8.55823555,8.661664005,6.732577713,6.779938616,5.456916055,7.996603302,6.723224229,7.690737582,11.9770789,11.99454299,12.11089744,10.00609307,7.485641498,8.177685911,7.874980993
rdh8(2of3),7.275954801,8.51488414,10.96685718,10.71217849,11.14355828,10.75684832,15.59132038,18.07384768,13.24899473,10.52993351,8.477590826,10.8875026,12.18435321,7.387708635,8.882086106,8.548853819
